Year,	White,	Black,	Hispanic,	Asian,	Native American,	Unknown/Other
2010,	1376,	33,	4,	11,	2,	99
2011,	4877,	126, 46, 65, 11, 233
2012,	5009,	99,	61,	68,	4,	345
2013,	1802,	80,	29,	23,	1,	31
2014,	1248,	42,	13,	16,	0,	8
2015,	1783,	67,	35,	24,	2,	38
