region	fruit	count
searched	Black	292
not searched	Black	5402
searched	Hispanic	106
not searched	Hispanic	2506
searched	Native American or Alaskan Native	11
not searched	Native American or Alaskan Native	268
searched	White	2940
not searched	White	261483
searched	Asian or Pacific Islander	29
not searched	Asian or Pacific Islander	3566
